position,longsnapper,height,weight,draftage,bench,forty,fortyelectric,verticaljump,broadjump,threecone,shuttle,drafted
RB,0,74,233,22.8,14,5.02,5.19,28.5,112,0,4.22,1
WR,0,74,232.5,22.70958904,26,0,4.55,36,119,7.35,4.6,1
LB,0,74,225,21.56986301,20,0,4.76,30.5,114.5,0,4.63,1
LB,0,74,222,23.46575342,12,4.99,5.18,31,111,0,4.56,1
WR,0,74,218,23.61369863,19,0,4.534,35.5,109.5,6.99,4.236,1
LB,0,74,214,22.30958904,8,4.89,5.22,31,111,7.39,4.36,0
LB,0,74,213,24.71232877,16,0,4.906,31.5,113.5,7.53,4.6,1
WR,0,74,212,23.15890411,13,0,4.42,38.5,124,6.91,4.04,1
DB,0,74,210,22.1369863,16,0,0,36.5,125,7.07,4.31,1
WR,0,74,207,24.34246575,12,0,4.71,35,127.25,7.21,4.33,1
WR,0,74,206,22.64109589,10,0,4.781,25.5,106,7.73,4.63,1
LB,0,74,205,0,18,0,4.789,33,115,7.001,4.256,1
WR,0,74,205,22.07671233,14,0,4.626,32.5,114.5,7.143,4.101,1
QB,0,74,205,0,3,0,4.679,34,112.5,7.027,4.135,0
DB,0,74,200,0,10,0,4.691,36,113.5,7.14,4.072,0
WR,0,74,198,23.24109589,12,4.23,5.05,33.75,115.8,6.84,4.19,1
WR,0,74,193,23.18082192,9,4.75,4.98,34.25,117,7.37,4.16,0
OL,0,73.875,289,22.87945205,16,5.53,5.8,21.5,98.5,0,4.91,0
DL,0,73.875,281,25.93424658,26,5.13,5.17,24.5,90.5,7.75,4.81,1
DL,0,73.875,229,22.09589041,21,4.68,4.87,37.5,113,0,4.31,1
WR,0,73.875,221.8,22.70684932,11,4.87,4.94,29,99,0,0,0
WR,0,73.875,205,26.11232877,14,4.57,4.77,35.5,116.5,0,4.38,1
WR,0,73.875,205,25.03835616,14,4.61,4.82,33.5,119.5,0,4.46,1
WR,0,73.875,202,21.55068493,14,4.75,5,34,110,0,4.24,0
WR,0,73.875,197,21.93972603,9,4.59,4.67,29.5,116.5,7.23,4.21,1
WR,0,73.875,191,23.07671233,4,4.66,4.85,34.5,111.5,0,4.29,0
DL,0,73.75,313,23.34520548,30,0,5.13,26,102,7.55,4.56,0
OL,0,73.75,308,22.40273973,21,5.46,5.67,27,88.5,0,4.69,0
OL,0,73.75,299,25.72876712,25,5.52,5.8,23,89.5,0,5,0
DL,0,73.75,267,20.98630137,13,5.23,5.42,33,107.25,0,4.46,1
DL,0,73.75,249.2,24.3260274,10,5.06,5.06,28.5,105,0,0,1
LB,0,73.75,241,25.07945205,21,5.03,5.18,36,113.25,0,4.32,1
LB,0,73.75,237,24.99726027,10,5.07,5.28,25,107,0,4.21,1
DL,0,73.75,237,22.43287671,21,0,5.19,27.5,107.5,7.58,4.57,0
RB,0,73.75,226,22.57808219,23,4.7,0,37,119.5,0,4.41,1
LB,0,73.75,219,23.83287671,24,4.5,4.76,40,124.5,0,4.22,1
WR,1,73.75,215,22.95616438,11,4.59,4.7,30,116,0,0,1
WR,0,73.75,200,24.60547945,17,4.56,4.8,33,115,0,0,1
LB,0,73.75,200,22.64109589,4,4.78,5.03,30.5,112,0,4.2,0
OL,0,73.625,294.4,23.80273973,26,5.25,5.64,23,96.5,0,0,1
OL,0,73.625,290,23.8739726,19,5.53,5.8,24,82,0,4.7,1
LB,0,73.625,209,23.41917808,12,4.96,0,29.25,106.5,0,4.5,0
DB,0,73.625,181,23.05479452,0,4.53,4.76,33,118,0,4.16,1
OL,0,73.5,294.8,23.86575342,20,5.63,5.86,19,87.5,0,0,0
DL,0,73.5,291,25.51506849,24,5.08,5.18,24,98.75,0,4.69,1
